AGREGACAO;MUNICIPIO;RECONHECIMENTO;GESTOR;TIPO;FONTE;EIXO;SUBEIXO;FINALIDADE;PAGO
Municipal;ALEGRETE;Situacao de Emergencia;MF;Recursos Novos;Financiamento;Apoio as Empresas;Credito para Agricultores;PRONAMPE SOLIDARIO;8.698.499,40
Municipal;ALEGRETE;Situacao de Emergencia;MIDR;Recursos Novos;Orcamento Federal;Cuidado com as Pessoas;Recursos Novos;Auxilio Reconstrucao;1.315.800,00
Municipal;ALEGRETE;Situacao de Emergencia;MIDR;Recursos Novos;Orcamento Federal;Medidas para os Municipios;Defesa Civil;Defesa Civil: resgate, resposta e reconstrucao;390.000,00
Municipal;ALEGRETE;Situacao de Emergencia;MPS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao dos Beneficios Previdenciarios;26.249.533,96
Municipal;ALEGRETE;Situacao de Emergencia;MS;Antecipacao;Orcamento Federal;Medidas para os Municipios;Saude;Antecipacao do Piso Nacional da Enfermagem;168.185,56
Municipal;ALEGRETE;Situacao de Emergencia;MS;Recursos Novos;Orcamento Federal;Medidas para os Municipios;Saude;Vigilancia epidemiologica: rede de frios, computadores e vacinas;133.214,00
Municipal;ALEGRETE;Situacao de Emergencia;MTE;Antecipacao;Financiamento;Cuidado com as Pessoas;Antecipacao;FGTS - Saque Calamidade;264.264,37
Municipal;ALEGRETE;Situacao de Emergencia;MTE;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Abono Salarial;3.424.655,00
Municipal;ALEGRETE;Situacao de Emergencia;MTE;Recursos Novos;Orcamento Federal;Cuidado com as Pessoas;Recursos Novos;Seguro desemprego;883.161,00
Municipal;ALEGRIA;Situacao de Emergencia;MDS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do Auxilio-Gas;8.466,00
Municipal;ALEGRIA;Situacao de Emergencia;MDS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do Bolsa-Familia;200.357,00
Municipal;ALEGRIA;Situacao de Emergencia;MDS;Recursos Novos;Orcamento Federal;Cuidado com as Pessoas;Recursos Novos;Bolsa Familia: novas familias incluidas;10.871,00
Municipal;ALEGRIA;Situacao de Emergencia;MEC;Recursos Novos;Orcamento Federal;Medidas para os Municipios;Educacao;Alimentacao escolar: parcela extra;7.642,00
Municipal;ALEGRIA;Situacao de Emergencia;MEC;Recursos Novos;Orcamento Federal;Medidas para os Municipios;Educacao;Programa Dinheiro Direto na Escola (PDDE): limpeza e reparos;15.200,00
Municipal;ALEGRIA;Situacao de Emergencia;MF;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do IRPF;157.677,00
Municipal;ALEGRIA;Situacao de Emergencia;MF;Prorrogacao;Financiamento;Apoio as Empresas;Prorrogacoes;Prorrogacao de tributos e suspensao de dividas;11.346,68
Municipal;ALEGRIA;Situacao de Emergencia;MF;Recursos Novos;Financiamento;Apoio as Empresas;Credito para Agricultores;PRONAMPE SOLIDARIO;134.600,00
Municipal;ALEGRIA;Situacao de Emergencia;MPS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao dos Beneficios Previdenciarios;2.430.422,96
Municipal;ALEGRIA;Situacao de Emergencia;MS;Antecipacao;Orcamento Federal;Medidas para os Municipios;Saude;Antecipacao do Piso Nacional da Enfermagem;3.571,98
Municipal;ALEGRIA;Situacao de Emergencia;MTE;Antecipacao;Financiamento;Cuidado com as Pessoas;Antecipacao;FGTS - Saque Calamidade;664.994,51
Municipal;ALEGRIA;Situacao de Emergencia;MTE;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Abono Salarial;92.850,00
Municipal;ALEGRIA;Situacao de Emergencia;MTE;Recursos Novos;Orcamento Federal;Cuidado com as Pessoas;Recursos Novos;Seguro desemprego;24.886,00
Municipal;ALMIRANTE TAMANDARE DO SUL;Nem Emergencia / Nem Calamidade;MDS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do Auxilio-Gas;510,00
Municipal;ALMIRANTE TAMANDARE DO SUL;Nem Emergencia / Nem Calamidade;MDS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do Bolsa-Familia;33.870,00
Municipal;ALMIRANTE TAMANDARE DO SUL;Nem Emergencia / Nem Calamidade;MDS;Recursos Novos;Orcamento Federal;Cuidado com as Pessoas;Recursos Novos;Bolsa Familia: novas familias incluidas;650,00
Municipal;ALMIRANTE TAMANDARE DO SUL;Nem Emergencia / Nem Calamidade;MF;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do IRPF;99.356,00
Municipal;ALMIRANTE TAMANDARE DO SUL;Nem Emergencia / Nem Calamidade;MS;Antecipacao;Orcamento Federal;Medidas para os Municipios;Saude;Antecipacao do Piso Nacional da Enfermagem;810,48
Municipal;ALMIRANTE TAMANDARE DO SUL;Nem Emergencia / Nem Calamidade;MTE;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Abono Salarial;134.285,00
Municipal;ALPESTRE;Situacao de Emergencia;MDS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do Auxilio-Gas;2.652,00
Municipal;ALPESTRE;Situacao de Emergencia;MDS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do Bolsa-Familia;181.213,00
Municipal;ALPESTRE;Situacao de Emergencia;MDS;Recursos Novos;Orcamento Federal;Cuidado com as Pessoas;Recursos Novos;Bolsa Familia: novas familias incluidas;5.550,00
Municipal;ALPESTRE;Situacao de Emergencia;MEC;Recursos Novos;Orcamento Federal;Medidas para os Municipios;Educacao;Alimentacao escolar: parcela extra;13.210,80
Municipal;ALPESTRE;Situacao de Emergencia;MF;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do IRPF;252.928,00
Municipal;ALPESTRE;Situacao de Emergencia;MF;Prorrogacao;Financiamento;Apoio as Empresas;Prorrogacoes;Prorrogacao de tributos e suspensao de dividas;12.051,15
Municipal;ALPESTRE;Situacao de Emergencia;MF;Recursos Novos;Financiamento;Apoio as Empresas;Credito para Agricultores;PRONAF/PRONAMP;11.937.416,56
Municipal;ALPESTRE;Situacao de Emergencia;MF;Recursos Novos;Financiamento;Apoio as Empresas;Credito para Agricultores;PRONAMPE SOLIDARIO;938.200,00
Municipal;ALPESTRE;Situacao de Emergencia;MS;Antecipacao;Orcamento Federal;Medidas para os Municipios;Saude;Antecipacao do Piso Nacional da Enfermagem;2.646,08
Municipal;ALPESTRE;Situacao de Emergencia;MTE;Antecipacao;Financiamento;Cuidado com as Pessoas;Antecipacao;FGTS - Saque Calamidade;916.500,35
Municipal;ALPESTRE;Situacao de Emergencia;MTE;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Abono Salarial;209.591,00
Municipal;ALTO ALEGRE;Situacao de Emergencia;MDS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do Auxilio-Gas;1.938,00
Municipal;ALTO ALEGRE;Situacao de Emergencia;MDS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do Bolsa-Familia;44.027,00
Municipal;ALTO ALEGRE;Situacao de Emergencia;MDS;Recursos Novos;Orcamento Federal;Cuidado com as Pessoas;Recursos Novos;Bolsa Familia: novas familias incluidas;650,00
Municipal;ALTO ALEGRE;Situacao de Emergencia;MEC;Recursos Novos;Orcamento Federal;Medidas para os Municipios;Educacao;Alimentacao escolar: parcela extra;2.631,40
Municipal;ALTO ALEGRE;Situacao de Emergencia;MF;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do IRPF;112.161,00
Municipal;ALTO ALEGRE;Situacao de Emergencia;MF;Prorrogacao;Financiamento;Apoio as Empresas;Prorrogacoes;Prorrogacao de tributos e suspensao de dividas;240.774,94
Municipal;ALTO ALEGRE;Situacao de Emergencia;MF;Recursos Novos;Financiamento;Apoio as Empresas;Credito para Agricultores;PRONAF/PRONAMP;834.530,00
Municipal;ALTO ALEGRE;Situacao de Emergencia;MF;Recursos Novos;Financiamento;Apoio as Empresas;Credito para Agricultores;PRONAMPE SOLIDARIO;44.064,00
Municipal;ALTO ALEGRE;Situacao de Emergencia;MPS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao dos Beneficios Previdenciarios;934.431,02
Municipal;ALTO ALEGRE;Situacao de Emergencia;MS;Antecipacao;Orcamento Federal;Medidas para os Municipios;Saude;Antecipacao do Piso Nacional da Enfermagem;1.264,48
Municipal;ALTO ALEGRE;Situacao de Emergencia;MTE;Antecipacao;Financiamento;Cuidado com as Pessoas;Antecipacao;FGTS - Saque Calamidade;389.424,60
Municipal;ALTO ALEGRE;Situacao de Emergencia;MTE;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Abono Salarial;57.546,00
Municipal;ALTO FELIZ;Situacao de Emergencia;MDS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do Auxilio-Gas;306,00
Municipal;ALTO FELIZ;Situacao de Emergencia;MDS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do Bolsa-Familia;11.590,00
Municipal;ALTO FELIZ;Situacao de Emergencia;MDS;Recursos Novos;Orcamento Federal;Cuidado com as Pessoas;Recursos Novos;Bolsa Familia: novas familias incluidas;800,00
Municipal;ALTO FELIZ;Situacao de Emergencia;MEC;Recursos Novos;Orcamento Federal;Medidas para os Municipios;Educacao;Alimentacao escolar: parcela extra;8.171,20
Municipal;ALTO FELIZ;Situacao de Emergencia;MF;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do IRPF;155.595,00
Municipal;ALTO FELIZ;Situacao de Emergencia;MF;Prorrogacao;Financiamento;Apoio as Empresas;Prorrogacoes;Prorrogacao de tributos e suspensao de dividas;153.674,26
Municipal;ALTO FELIZ;Situacao de Emergencia;MIDR;Recursos Novos;Orcamento Federal;Cuidado com as Pessoas;Recursos Novos;Auxilio Reconstrucao;15.300,00
Municipal;ALTO FELIZ;Situacao de Emergencia;MIDR;Recursos Novos;Orcamento Federal;Medidas para os Municipios;Defesa Civil;Defesa Civil: resgate, resposta e reconstrucao;432.025,60
Municipal;ALTO FELIZ;Situacao de Emergencia;MS;Antecipacao;Orcamento Federal;Medidas para os Municipios;Saude;Antecipacao do Piso Nacional da Enfermagem;1.465,52
Municipal;ALTO FELIZ;Situacao de Emergencia;MS;Recursos Novos;Orcamento Federal;Medidas para os Municipios;Saude;Vigilancia epidemiologica: rede de frios, computadores e vacinas;54.000,00
Municipal;ALTO FELIZ;Situacao de Emergencia;MTE;Antecipacao;Financiamento;Cuidado com as Pessoas;Antecipacao;FGTS - Saque Calamidade;2.304.244,17
Municipal;ALTO FELIZ;Situacao de Emergencia;MTE;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Abono Salarial;214.764,00
Municipal;ALVORADA;Estado de Calamidade Publica;MDS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do Auxilio-Gas;269.382,00
Municipal;ALVORADA;Estado de Calamidade Publica;MDS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do Bolsa-Familia;9.943.268,00
Municipal;ALVORADA;Estado de Calamidade Publica;MDS;Recursos Novos;Orcamento Federal;Cuidado com as Pessoas;Recursos Novos;Bolsa Familia: novas familias incluidas;601.830,00
Municipal;ALVORADA;Estado de Calamidade Publica;MDS;Recursos Novos;Orcamento Federal;Medidas para os Municipios;Assistencia Social;Seguranca alimentar e assistencia social: PAA, cestas, abrigos e parcela extra SUAS;990.502,28
Municipal;ALVORADA;Estado de Calamidade Publica;MEC;Recursos Novos;Orcamento Federal;Medidas para os Municipios;Educacao;Alimentacao escolar: parcela extra;275.952,00
Municipal;ALVORADA;Estado de Calamidade Publica;MEC;Recursos Novos;Orcamento Federal;Medidas para os Municipios;Educacao;Programa Dinheiro Direto na Escola (PDDE): limpeza e reparos;53.200,00
Municipal;ALVORADA;Estado de Calamidade Publica;MF;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do IRPF;11.428.190,00
Municipal;ALVORADA;Estado de Calamidade Publica;MF;Prorrogacao;Financiamento;Apoio as Empresas;Prorrogacoes;Prorrogacao de tributos e suspensao de dividas;16.642.482,01
Municipal;ALVORADA;Estado de Calamidade Publica;MF;Recursos Novos;Financiamento;Apoio as Empresas;Credito para Agricultores;PRONAMPE SOLIDARIO;22.527.937,71
Municipal;ALVORADA;Estado de Calamidade Publica;MF;Recursos Novos;Financiamento;Apoio as Empresas;Credito para Empresas;Programa Emergencial de Acesso a Credito (PEAC);10.309.109,43
